date,flight_id,scale,index_url,frame_status,reference_image_url,county_name,county_url
1977-06-02,77-071-02495,['32500'],http://mil.library.ucsb.edu/ap_indexes/7707102495,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1977-06-01,GS-VELL,['80000'],http://mil.library.ucsb.edu/ap_indexes/gsvell,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1977-02-10,TG-3687,['16000'],http://mil.library.ucsb.edu/ap_indexes/tg3687,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1977-02-01,TG-7700,['24000'],http://mil.library.ucsb.edu/ap_indexes/tg7700,All frames digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1976-10-04,TG-3627,"['7200', '14400', '50000']",http://mil.library.ucsb.edu/ap_indexes/tg3627,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1976-10-01,GS-VDYM,['80000'],http://mil.library.ucsb.edu/ap_indexes/gsvdym,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1976-06-01,GS-VEHA,['80000'],http://mil.library.ucsb.edu/ap_indexes/gsveha,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1976-06-01,GS-VEFB,['80000'],http://mil.library.ucsb.edu/ap_indexes/gsvefb,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1976-05-22,TG-3594,['12000'],http://mil.library.ucsb.edu/ap_indexes/tg3594,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1976-02-21,AMI-SBD-76,['36000'],http://mil.library.ucsb.edu/ap_indexes/amisbd76,All frames digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1976-02-01,TG-7600,['24000'],http://mil.library.ucsb.edu/ap_indexes/tg7600,All frames digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1975-10-08,75-176-02243,['200000'],http://mil.library.ucsb.edu/ap_indexes/7517602243,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1975-05-05,AMI-SBD-75,"['36000', '25000']",http://mil.library.ucsb.edu/ap_indexes/amisbd75,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1975-02-24,TG-3528,"['9600', '30000']",http://mil.library.ucsb.edu/ap_indexes/tg3528,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1974-12-01,TG-7400,['24000'],http://mil.library.ucsb.edu/ap_indexes/tg7400,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1974-11-01,GS-VDOB,['80000'],http://mil.library.ucsb.edu/ap_indexes/gsvdob,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1974-11-01,GS-VDQM,['80000'],http://mil.library.ucsb.edu/ap_indexes/gsvdqm,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1974-06-21,AMI-SBD-74,['36000'],http://mil.library.ucsb.edu/ap_indexes/amisbd74,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1974-05-07,74-072-01744,['130000'],http://mil.library.ucsb.edu/ap_indexes/7407201744,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1974-04-25,SBB,['24000'],http://mil.library.ucsb.edu/ap_indexes/sbb,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1974-04-05,TG-3459,['27000'],http://mil.library.ucsb.edu/ap_indexes/tg3459,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1973-12-10,73-205-01562,['130000'],http://mil.library.ucsb.edu/ap_indexes/7320501562,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1973-07-17,TG-3358,['40000'],http://mil.library.ucsb.edu/ap_indexes/tg3358,All frames digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1973-07-02,73-108-01304,['32500'],http://mil.library.ucsb.edu/ap_indexes/7310801304,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
